nodes,maxhops,se
850,18,16.0117647059
850,17,15.0117647059
850,15,13.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,21,19.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,19,17.0117647059
850,22,20.0117647059
850,17,15.0117647059
850,19,17.0117647059
850,23,21.0117647059
850,16,14.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,19,17.0117647059
850,19,17.0117647059
850,14,12.0117647059
850,20,18.0117647059
850,18,16.0117647059
850,14,12.0117647059
850,16,14.0117647059
850,18,16.0117647059
850,17,15.0117647059
850,16,14.0117647059
850,19,17.0117647059
850,19,17.0117647059
850,16,14.0117647059
850,19,17.0117647059
850,13,11.0117647059
850,16,14.0117647059
850,15,13.0117647059
850,19,17.0117647059
850,16,14.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,16,14.0117647059
850,16,14.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,18,16.0117647059
850,13,11.0117647059
850,19,17.0117647059
850,17,15.0117647059
850,16,14.0117647059
850,18,16.0117647059
850,17,15.0117647059
850,19,17.0117647059
850,14,12.0117647059
850,18,16.0117647059
