nodes,maxtime,se
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,10.004009,9.73151849034
1450,15.004009,14.7315184903
1450,20.004009,19.7315184903
1450,15.004009,14.7315184903
1450,10.007005,9.73451449034
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,10.004009,9.73151849034
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1450,15.004009,14.7315184903
1600,15.004009,14.8664695431
1600,10.007005,9.86946554312
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
1600,15.004009,14.8664695431
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.007005,9.325353464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,10.007005,4.325353464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,10.004009,4.322357464
250,10.007005,4.325353464
250,20.004009,14.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,10.004009,4.322357464
250,10.004009,4.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,25.004009,19.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,10.004009,4.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,15.007005,9.325353464
250,10.004009,4.322357464
250,20.004009,14.322357464
250,10.004009,4.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
250,15.004009,9.322357464
250,15.004009,9.322357464
250,20.004009,14.322357464
400,15.004009,11.6279693
400,15.007005,11.6309653
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,20.004009,16.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,20.004009,16.6279693
400,10.004009,6.6279693
400,10.004009,6.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,10.007005,6.6309653
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,10.007005,6.6309653
400,15.004009,11.6279693
400,10.004009,6.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,20.004009,16.6279693
400,10.004009,6.6279693
400,10.007005,6.6309653
400,10.004009,6.6279693
400,15.004009,11.6279693
400,10.007005,6.6309653
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
400,10.004009,6.6279693
400,20.004009,16.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,15.004009,11.6279693
400,10.004009,6.6279693
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,10.004009,7.54871829455
550,10.004009,7.54871829455
550,10.004009,7.54871829455
550,10.004009,7.54871829455
550,15.004009,12.5487182945
550,10.004009,7.54871829455
550,15.004009,12.5487182945
550,10.007005,7.55171429455
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,10.004009,7.54871829455
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,10.004009,7.54871829455
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,10.004009,7.54871829455
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,10.004009,7.54871829455
550,10.004009,7.54871829455
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,10.004009,7.54871829455
550,15.004009,12.5487182945
550,15.004009,12.5487182945
550,10.004009,7.54871829455
550,10.004009,7.54871829455
550,15.004009,12.5487182945
550,15.004009,12.5487182945
