nodes,avg
1450,3.245517
1450,3.256552
1450,3.282069
1450,3.277241
1450,3.272414
1450,3.255862
1450,3.293103
1450,3.252414
1450,3.28069
1450,3.277931
1450,3.225517
1450,3.277241
1450,3.27931
1450,3.262069
1450,3.273793
1450,3.297241
1450,3.267586
1450,3.227586
1450,3.255172
1450,3.295172
1450,3.257931
1450,3.306897
1450,3.255172
1450,3.24069
1450,3.281379
1450,3.275862
1450,3.270345
1450,3.24
1450,3.23931
1450,3.235172
1450,3.248966
1450,3.269655
1450,3.277241
1450,3.275862
1450,3.255862
1450,3.26069
1600,3.248125
1600,3.243125
1600,3.261875
1600,3.280625
1600,3.27125
1600,3.259375
1600,3.288125
1600,3.298125
1600,3.225
1600,3.265625
1600,3.25875
1600,3.24125
1600,3.243125
1600,3.28375
1600,3.24875
1600,3.27625
1600,3.2525
1600,3.249375
1600,3.2675
1600,3.26
1600,3.235625
1600,3.3
1600,3.241875
1600,3.28
1600,3.241875
1600,3.275
1600,3.259375
1600,3.253125
1600,3.253125
1600,3.243125
1600,3.2375
1600,3.26125
1600,3.261875
1600,3.286875
1600,3.249375
1600,3.24125
1600,3.251875
1600,3.235
1600,3.26125
1600,3.298125
1600,3.231875
1600,3.279375
1600,3.31625
1600,3.26875
