nodes,st
400,15.004009
400,10.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,20.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,10.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,10.004009
400,15.004009
400,10.004009
400,15.004009
400,15.004009
400,15.004009
400,10.004009
400,10.004009
400,20.004009
400,15.004009
400,10.004009
400,15.004009
400,10.004009
400,20.004009
400,10.007005
400,10.004009
400,15.004009
400,10.004009
400,15.004009
400,10.004009
400,15.004009
400,10.004009
400,15.004009
400,10.004009
400,10.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,10.004009
400,10.004009
400,20.004009
400,15.004009
400,10.004009
400,10.004009
400,10.007005
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,10.004009
400,15.004009
400,10.004009
400,10.004009
400,10.004009
400,15.004009
400,10.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,20.004009
400,15.004009
400,15.004009
400,20.004009
400,15.004009
400,15.004009
400,15.004009
400,10.004009
400,15.004009
400,15.004009
400,15.004009
400,15.004009
400,10.004009
400,15.004009
400,15.004009
400,10.004009
400,15.004009
400,10.004009
400,15.004009
400,10.004009
400,15.004009
400,20.004009
400,15.004009
400,10.004009
400,20.004009
400,15.004009
400,15.004009
550,15.004009
550,15.004009
550,10.004009
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,10.007005
550,15.004009
550,15.004009
550,10.004009
550,15.004009
550,10.007005
550,15.004009
550,15.004009
550,15.004009
550,10.004009
550,10.004009
550,15.004009
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,10.004009
550,15.004009
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,10.004009
550,15.004009
550,10.004009
550,10.004009
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,20.004009
550,10.004009
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,10.004009
550,10.004009
550,15.004009
550,10.004009
550,10.004009
550,15.004009
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,10.004009
550,15.004009
550,10.004009
550,10.004009
550,15.004009
550,15.004009
550,10.004009
550,15.004009
550,10.004009
550,10.004009
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,10.007005
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,20.004009
550,15.004009
550,15.004009
550,10.004009
550,20.004009
550,10.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
550,15.004009
700,15.004009
700,15.004009
700,10.004009
700,10.004009
700,15.004009
700,10.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,10.007005
700,15.004009
700,10.004009
700,15.004009
700,10.004009
700,15.004009
700,10.004009
700,10.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
700,10.004009
700,20.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,10.004009
700,15.004009
700,10.004009
700,10.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,10.004009
700,15.004009
700,15.004009
700,10.004009
700,10.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,20.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,15.004009
700,10.004009
700,15.004009
850,15.004009
850,20.004009
850,15.004009
850,15.004009
850,15.004009
850,10.007005
850,10.004009
850,15.004009
850,15.004009
850,15.004009
850,15.004009
850,15.004009
850,10.004009
850,15.004009
850,10.004009
850,15.004009
850,15.004009
850,15.004009
850,15.004009
850,15.004009
850,15.004009
850,20.004009
850,15.004009
850,15.004009
