nodes,avgmsg,se
1300,3.297692,0.0349770882353
1300,3.274615,0.0119000882353
1300,3.247692,0.0150229117647
1300,3.303077,0.0403620882353
1300,3.280769,0.0180540882353
1300,3.236154,0.0265609117647
1300,3.283077,0.0203620882353
1300,3.234615,0.0280999117647
1300,3.258462,0.00425291176471
1300,3.291538,0.0288230882353
1300,3.246154,0.0165609117647
1300,3.233077,0.0296379117647
1300,3.236923,0.0257919117647
1300,3.257692,0.00502291176471
1300,3.250769,0.0119459117647
1300,3.251538,0.0111769117647
1300,3.226923,0.0357919117647
1300,3.236923,0.0257919117647
1300,3.283077,0.0203620882353
1300,3.298462,0.0357470882353
1300,3.282308,0.0195930882353
1300,3.280769,0.0180540882353
1300,3.220000,0.0427149117647
1300,3.256923,0.00579191176471
1300,3.258462,0.00425291176471
1300,3.239231,0.0234839117647
1300,3.272308,0.00959308823529
1300,3.284615,0.0219000882353
1300,3.292308,0.0295930882353
1300,3.268462,0.00574708823529
1300,3.251538,0.0111769117647
1300,3.293846,0.0311310882353
1450,3.304828,0.00360181481481
1450,3.253793,0.0474331851852
1450,3.259310,0.0419161851852
1450,3.231724,0.0695021851852
1450,3.284828,0.0163981851852
1450,3.233103,0.0681231851852
1450,3.243448,0.0577781851852
1450,3.284828,0.0163981851852
1450,3.282069,0.0191571851852
1450,3.264828,0.0363981851852
1450,3.332414,0.0311878148148
1450,3.248966,0.0522601851852
1450,3.262759,0.0384671851852
1450,3.260000,0.0412261851852
1450,3.262069,0.0391571851852
1450,3.264138,0.0370881851852
1450,3.214483,0.0867431851852
1450,3.272414,0.0288121851852
1450,4.264828,0.963601814815
1450,3.228276,0.0729501851852
1450,3.226207,0.0750191851852
1450,3.299310,0.00191618518519
1450,3.262759,0.0384671851852
1450,3.262759,0.0384671851852
1450,3.266207,0.0350191851852
1450,3.292414,0.00881218518519
1450,3.270345,0.0308811851852
1600,3.248125,0.013
1600,3.243125,0.018
1600,3.261875,0.00075
1600,3.280625,0.0195
1600,3.271250,0.010125
1600,3.259375,0.00175
1600,3.288125,0.027
1600,3.298125,0.037
1600,3.225000,0.036125
1600,3.265625,0.0045
1600,3.258750,0.002375
1600,3.241250,0.019875
